ID,Öncelik,Sprint,Modül,İş / Gereksinim,Detay,Kabul Kriteri / Test,Kaynak,Durum,Agent Notu,Commit SHA,Test Kanıtı,Kullanıcı Doğrulaması
A01,P0,A,Kayıt,Kullanım Koşulları dönüşünde kayıt form state'i korunmalı,Kullanıcı formu doldurup Kullanım Koşulları sayfasına gidip browser Back yaptığında e-posta/şifre ve diğer girilmiş alanlar kaybolmamalı.,Playwright: fill -> terms -> Back -> values preserved.,Canlı audit,VERIFIED,Taslak + yeni sekme; sifre bilerek saklanmiyor,6043192,e2e: kayit formu yasal metin donusunde dolu kaliyor,18.08.2026 · kullanıcı canlıda kontrol etti
A02,P0,A,Kayıt,KVKK dönüşünde kayıt form state'i korunmalı,KVKK metni okunup geri dönüldüğünde kayıt formundaki girilmiş alanlar korunmalı.,Playwright: fill -> KVKK -> Back -> values preserved.,Canlı audit,VERIFIED,Ayni cozum KVKK baglantisini da kapsiyor,6043192,e2e: yasal metin baglantilari yeni sekmede aciliyor,18.08.2026 · kullanıcı canlıda kontrol etti
A03,P0,A,Galeri,Fotoğraf detayında görünür 'Galeriye dön' kontrolü,Fotoğraf detayından galeriye tek hareketle dönülebilmeli.,Detay sayfasında görünür geri kontrolü; tıklayınca galeri.,Kullanıcı bulgusu,VERIFIED,Ust kisimda gorunur geri donus; alttaki korundu,289eb13,e2e: fotograf detayinda geri donus ilk ekranda,18.08.2026 · kullanıcı canlıda kontrol etti
A04,P0,A,Galeri,Galeri pagination sayfası geri dönüşte korunmalı,Fotoğrafa hangi sayfadan girildiyse aynı sayfaya dönülmeli.,Page N -> detail -> back -> Page N.,Kullanıcı bulgusu,VERIFIED,Durum zaten URL'de (useExplorer); tarayicida dogrulandi ve kilitlendi,289eb13,e2e: galeri suzgeci ve sayfasi geri donuste korunuyor,18.08.2026 · kullanıcı canlıda kontrol etti
A05,P0,A,Galeri,Galeri scroll/kart konumu geri dönüşte korunmalı,Kullanıcı detaydan dönünce listenin başına atılmamalı; açılan kart yeniden görünür konuma gelmeli.,Scroll -> detail -> back -> scroll/anchor restored.,Kullanıcı bulgusu,VERIFIED,ScrollRestoration calisiyor; olculdu,289eb13,e2e: galeri kaydirma konumu geri donuste korunuyor,18.08.2026 · kullanıcı canlıda kontrol etti
A06,P0,A,Galeri,Arama/filtre/sıralama state'i geri dönüşte korunmalı,"Arama metni, aktif filtreler ve sıralama detail dönüşünde kaybolmamalı.",Filters/search/sort -> detail -> back -> unchanged.,Kullanıcı bulgusu,VERIFIED,q/sort/page geri donuste korunuyor,289eb13,e2e: galeri suzgeci ve sayfasi geri donuste korunuyor,18.08.2026 · kullanıcı canlıda kontrol etti
A07,P1,A,İlanlar,İlan başına maksimum 5 fotoğraf yükleme,İlan oluşturma/düzenleme akışında 1–5 fotoğraf eklenebilmeli.,6. foto reddedilir; 1–5 kabul edilir.,Kullanıcı bulgusu,TODO,,,,Bekliyor
A08,P1,A,İlanlar,İlan fotoğraflarında merkezi Astrohub optimizasyon pipeline'ını kullan,Mevcut foto optimizasyon mantığı tekrar yazılmamalı; ilan görselleri de aynı ortak servisten geçmeli ve web çıktısı 5 MB'ı aşmamalı.,Büyük görsel -> optimize asset <=5MB; kalite/görsel oranı korunur.,Kullanıcı bulgusu,TODO,,,,Bekliyor
A09,P1,A,İlanlar,İlan foto yönetimi: sil/değiştir/sırala/progress,Fotoğraflar upload progress göstermeli; silinebilir/değiştirilebilir ve tercihen drag-drop sıralanabilir olmalı.,Ekle/sil/değiştir/sırala -> kayıt sonrası sıra korunur.,Kullanıcı bulgusu,TODO,,,,Bekliyor
A10,P1,A,Fotoğraf Detayı,Benzer Fotoğraflar gerçek thumbnail göstermeli,Placeholder yalnız gerçek asset yoksa kullanılmalı; ilgili fotoğrafın gerçek preview/thumbnail URL'si render edilmeli.,"Benzer fotoğraflarda gerçek thumbnail, broken URL sessiz placeholder'a düşmez.",Kullanıcı ekran görüntüsü,TODO,,,,Bekliyor
A11,P1,A,Fotoğraf Detayı,Teknik Karşılaştırma gerçek thumbnail göstermeli,Karşılaştırma kartlarında ilgili fotoğrafların gerçek görselleri görünmeli.,Karşılaştırmada doğru asset URL render edilir.,Kullanıcı ekran görüntüsü,TODO,,,,Bekliyor
A12,P0,A,Saha,observing_sites canlı HTTP 400 hatası giderilmeli,Canlı PostgREST sorgusundaki schema/kolon/enum uyumsuzluğu response body ve Supabase loglarıyla bulunup düzeltilmeli.,Network: /saha ana veri isteği 2xx; saha listesi render.,Canlı audit,VERIFIED,"Dort eksik kolon eklendi, secim dizesi duzeltildi, 15 saha veritabanina tasindi",d1802f9,REST 200 / 15 kayit; vitest sites.select.test.ts,18.08.2026 · kullanıcı canlıda kontrol etti
A13,P1,A,Ana Sayfa / Hava,Meteoblue 503 için graceful fallback,Edge Function başarısız olduğunda sayfa kırılmamalı; kontrollü retry/fallback ve anlaşılır durum olmalı.,503 mock -> fallback UI; sonsuz retry yok.,Canlı audit,TESTED,Fallback zaten vardı; 503 regresyon testi eklendi,9f8974e,vitest meteoblue.test.ts: 503 → null zarif düşüş,Bekliyor
A14,P1,A,Etkinlikler,Mobil etkinlik görünümünde yatay taşma kaldırılmalı,390px'de min-w 980 tablo yerine mobil kart/list görünümü kullanılmalı; document-level horizontal scroll olmamalı.,390px: document scrollWidth <= viewport+2.,Canlı audit,TESTED,Mobilde tablo yerine yığılmış kart,9f8974e,"check:viewports: Etkinlikler 3.sayfa, 11 çözünürlük taşmasız",Bekliyor
B01,P1,B,Fotoğraf Detayı,İndir butonu dropdown açmalı,İndir tıklanınca aşağı açılır menüde fotoğraf varyantları sunulmalı.,Mouse+keyboard aç/kapat; Escape ve outside click çalışır.,Yeni gereksinim,TESTED,Indir artik iki secenekli menu,7fdded8,vitest annotatedExport.test.ts,Bekliyor
B02,P1,B,Fotoğraf Detayı,Orijinal / annotasyonsuz fotoğraf indirilebilmeli,UI metni 'Ham' yerine veri gerçekten RAW değilse 'Yüklenen orijinal (annotasyonsuz)' demeli. Sistemde gerçek RAW tutuluyorsa ayrıca 'Ham dosya' sunulabilir.,İndirilen dosya geçerli; doğru kaynak/uzantı; filename güvenli.,Yeni gereksinim,TESTED,Orijinal private kalıyor; sahip politikası X04,1d108cd,vitest DownloadChip.test.tsx: annotasyonsuz fetch + blob indirme,Bekliyor
B03,P1,B,Fotoğraf Detayı,Plate Solve Annotated fotoğraf ayrı indirilebilmeli,Plate solve tamamlandıysa annotation katmanlı görsel ayrı seçenek olmalı.,Solved photo -> annotated download works.,Yeni gereksinim,TESTED,Alan cozumlu kopya istemcide ciziliyor; astrometry.net goruntusu ekrandaki etiketlerle ayrisirdi,7fdded8,vitest annotatedExport.test.ts,Bekliyor
B04,P1,B,Fotoğraf Detayı,Annotated hazır değilse doğru durum,Plate solve bitmemişse annotated seçenek disabled/loading olmalı; boş/yanlış dosya indirilmemeli.,Pending solve -> disabled + açıklama.,Ek öneri,TESTED,Cozum yoksa secenek kapali ve sebebi yazili (sirada / cozum yok),7fdded8,,Bekliyor
B05,P2,B,Fotoğraf Detayı,İndirme dosya adları anlamlı ve sanitize olmalı,Örn. astrohub-ic1805-muratsana-original.jpg ve -annotated.jpg.,Content-Disposition/filename doğru ve güvenli.,Ek öneri,TESTED,Dosya adi kayittan tureniyor ve sanitize ediliyor,7fdded8,vitest indirmeAdi.test.ts,Bekliyor
B06,P2,B,Fotoğraf Detayı,Kaydet semantiğini netleştir,Koleksiyon özelliği korunuyorsa 'Koleksiyona kaydet'; cihaz indirme 'İndir' ayrı eylem olmalı.,Aksiyon isimleri niyeti açıkça ayırır.,Kullanıcı bulgusu,TESTED,İndir menüden ayrı; kaydet=koleksiyon,1d108cd,vitest SaveChip.test.tsx: Koleksiyona kaydet semantiği,Bekliyor
B07,P2,B,Plate Solve,Plate solve sonrası takımyıldız otomatik türet,RA/Dec sonucundan constellation hesaplanıp künyeye eklenmeli; manuel değer varsa sessiz overwrite yapılmamalı.,Solved RA/Dec -> doğru constellation; source=plate_solve.,Kullanıcı bulgusu,TODO,,,,Bekliyor
